model,mode,subset,judge_reward,exact_match,contains_answer,context_length,generation_ms,scoring_ms,total_ms,sub_llm_call_count,sub_llm_prompt_tokens,sub_llm_completion_tokens,sub_llm_total_tool_calls,sub_llm_total_turns,sub_llm_batch_count,sub_llm_max_batch_size,sub_llm_mean_batch_size,turns,prompt_tokens,completion_tokens
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,412864,829962.1040821075,3152.6322364807,833114.7363185883,599.0,575877.0,57647.0,0.0,599.0,31.0,20.0,19.3225806452,14.0,38644.0,2397.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,361858,487368.0400848389,1411.9510650635,488779.9911499023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,114314.0,4098.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,372007,517335.4051113129,1244.1208362579,518579.5259475708,19.0,54508.0,561.0,0.0,19.0,4.0,5.0,4.75,27.0,154523.0,6677.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,372007,571911.947965622,1653.6450386047,573565.5930042267,95.0,61502.0,3530.0,0.0,95.0,5.0,20.0,19.0,30.0,260617.0,7986.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,372709,546434.6733093262,968.7910079956,547403.4643173218,83.0,124463.0,1556.0,0.0,83.0,4.0,23.0,20.75,30.0,179590.0,6118.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,337780,403369.4090843201,1468.6982631683,404838.1073474884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,54152.0,2780.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,380913,220142.8401470184,11906.7618846893,232049.6020317078,86.0,124935.0,1093.0,0.0,86.0,2.0,76.0,43.0,15.0,47134.0,1608.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,556759,598716.1159515381,1255.7461261749,599971.862077713,20.0,24372.0,2704.0,0.0,20.0,2.0,10.0,10.0,30.0,290044.0,9628.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,556759,602063.2231235504,1121.7153072357,603184.9384307861,123.0,180893.0,1112.0,0.0,123.0,7.0,20.0,17.5714285714,30.0,332108.0,6726.0
z-ai/glm-4.6,rlm_tips,real,1.0,0.0,1.0,558302,540875.1709461212,1305.7177066803,542180.8886528015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,211216.0,4947.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,535994,541500.806093216,1116.8079376221,542617.614030838,71.0,161335.0,3927.0,0.0,71.0,7.0,11.0,10.1428571429,28.0,301158.0,5805.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,725434,390751.1119842529,1334.0599536896,392085.1719379425,58.0,16493.0,360.0,0.0,58.0,1.0,58.0,58.0,21.0,102876.0,4214.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,731418,341419.7397232056,2410.2261066437,343829.9658298492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,95217.0,3563.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,717548,187527.3110866547,1232.6030731201,188759.9141597748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,72106.0,2613.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,827225,723412.0488166809,1797.1570491791,725209.20586586,76.0,935629.0,63558.0,0.0,76.0,5.0,18.0,15.2,11.0,18712.0,1125.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,700088,874312.242269516,1317.2450065613,875629.4872760773,774.0,993088.0,6572.0,0.0,774.0,17.0,50.0,45.5294117647,16.0,61558.0,4102.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,700088,253454.9152851105,1846.2371826172,255301.1524677277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6271.0,692.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,926010,545197.9999542236,2025.8548259735,547223.8547801971,21.0,341211.0,1710.0,0.0,21.0,5.0,5.0,4.2,28.0,214281.0,5015.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,926010,386702.3191452026,1274.6212482452,387976.9403934479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38539.0,2995.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,922092,717002.9208660126,2151.2250900269,719154.1459560394,1109.0,1319483.0,11432.0,0.0,1109.0,23.0,50.0,48.2173913043,7.0,10460.0,890.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,903334,378695.839881897,1489.0608787537,380184.9007606506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,179692.0,2732.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,983910,951544.4779396057,1526.8049240112,953071.282863617,898.0,883258.0,8398.0,0.0,898.0,29.0,50.0,30.9655172414,17.0,55524.0,2100.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,983910,486963.4130001068,2004.9479007721,488968.3609008789,20.0,45062.0,391.0,0.0,20.0,1.0,20.0,20.0,21.0,134767.0,3558.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1076257,586950.9000778198,996.0129261017,587946.9130039215,103.0,70242.0,891.0,0.0,103.0,1.0,103.0,103.0,28.0,258279.0,10113.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1157727,377140.6371593475,1210.8910083771,378351.5281677246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15416.0,1016.0
z-ai/glm-4.6,rlm_tips,real,1.0,0.0,1.0,1157727,526217.5009250641,1693.4652328491,527910.9661579132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,156604.0,5612.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,1.0,1126603,467135.4048252106,2409.1250896454,469544.529914856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,184681.0,4676.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1283346,395475.4366874695,1297.0921993256,396772.528886795,7.0,10023.0,985.0,0.0,7.0,1.0,7.0,7.0,15.0,76755.0,4864.0
z-ai/glm-4.6,rlm_tips,real,1.0,1.0,1.0,1363494,517583.8310718536,1769.5319652557,519353.3630371094,152.0,429344.0,4231.0,0.0,152.0,4.0,72.0,38.0,23.0,171466.0,2967.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1356679,509248.3489513397,1475.5680561066,510723.9170074463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,122607.0,5748.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1318503,394882.7049732208,1512.158870697,396394.8638439178,48.0,354580.0,848.0,0.0,48.0,3.0,41.0,16.0,16.0,71689.0,3544.0
z-ai/glm-4.6,rlm_tips,real,1.0,0.0,1.0,1486244,192189.0664100647,1654.3097496033,193843.376159668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,52834.0,1422.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1557395,357349.0219116211,1602.6549339294,358951.6768455505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,111167.0,3135.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1557395,516827.6431560516,1373.4872341156,518201.1303901672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,138181.0,4457.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1636563,253614.0019893646,2482.2962284088,256096.2982177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9561.0,596.0
z-ai/glm-4.6,rlm_tips,real,1.0,1.0,1.0,1518752,494675.017118454,1370.8369731903,496045.8540916443,16.0,403448.0,2907.0,0.0,16.0,1.0,16.0,16.0,25.0,166626.0,3321.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1584486,661033.2112312317,2129.8320293427,663163.0432605743,934.0,1437626.0,7198.0,0.0,934.0,21.0,50.0,44.4761904762,23.0,139374.0,4302.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1569922,156581.1991691589,1511.3527774811,158092.55194664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,31628.0,1583.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,1870476,730978.0158996582,1522.5973129272,732500.6132125854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,286052.0,13063.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,2955959,170958.8439464569,1442.4738883972,172401.3178348541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,54904.0,2334.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,2991214,546748.8059997559,1810.1019859314,548558.9079856873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,207467.0,9292.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,3151633,487220.88098526,1890.8030986786,489111.6840839386,16.0,36018.0,299.0,0.0,16.0,4.0,4.0,4.0,24.0,172718.0,3287.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,3151633,341841.3820266724,2118.1120872498,343959.4941139221,16.0,34803.0,1013.0,0.0,16.0,1.0,16.0,16.0,17.0,60026.0,3067.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,3133311,365756.8697929382,1882.2400569916,367639.1098499298,13.0,8874.0,482.0,0.0,13.0,1.0,13.0,13.0,15.0,103312.0,4719.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,3063225,644161.6640090942,3601.8350124359,647763.4990215302,76.0,3223328.0,24500.0,0.0,76.0,16.0,5.0,4.75,16.0,51321.0,2214.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,2922296,184371.6731071472,1204.9939632416,185576.6670703888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,43195.0,1913.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,4467164,537857.036113739,1138.934135437,538995.970249176,41.0,1126653.0,5192.0,0.0,41.0,1.0,41.0,41.0,24.0,217764.0,5371.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,4412367,344493.775844574,1492.7308559418,345986.5067005157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,76060.0,3039.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,4412367,719796.2937355042,1294.2190170288,721090.512752533,9.0,1233823.0,1563.0,0.0,9.0,3.0,5.0,3.0,10.0,20417.0,1528.0
z-ai/glm-4.6,rlm_tips,real,0.0,0.0,0.0,4670062,221381.3109397888,1340.1546478271,222721.465587616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,45598.0,3119.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,412864,1282726.786851883,2416.9731140137,1285143.7599658966,90.0,0.0,0.0,0.0,90.0,1.0,90.0,90.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,361858,1329672.4438667297,1172.9619503021,1330845.4058170319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,372007,1887784.1217517853,1471.5960025787,1889255.717754364,36.0,0.0,0.0,0.0,36.0,1.0,36.0,36.0,10.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,372007,963034.3198776245,1436.126947403,964470.4468250275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,372709,682052.0918369293,1710.2658748627,683762.357711792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,337780,689803.0488491058,3341.3841724396,693144.4330215454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,380913,448866.7230606079,3165.4391288757,452032.1621894836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,556759,1220253.7841796875,2064.2900466919,1222318.0742263794,36.0,0.0,0.0,0.0,36.0,1.0,36.0,36.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,556759,1526167.7980422974,1371.3707923889,1527539.1688346863,123.0,0.0,0.0,0.0,123.0,2.0,122.0,61.5,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,558302,1420806.6177368164,1856.2579154968,1422662.8756523132,54.0,0.0,0.0,0.0,54.0,3.0,33.0,18.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,535994,707884.8729133606,1658.757686615,709543.6305999756,6.0,0.0,0.0,0.0,6.0,1.0,6.0,6.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,725434,1160945.2521800995,2531.3699245453,1163476.6221046448,63.0,0.0,0.0,0.0,63.0,1.0,63.0,63.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,731418,1049584.9890708923,1344.4952964783,1050929.4843673706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,717548,809052.4699687958,1420.4640388489,810472.9340076447,15.0,0.0,0.0,0.0,15.0,2.0,8.0,7.5,9.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,827225,1113219.5541858673,1113.0101680756,1114332.5643539429,5.0,0.0,0.0,0.0,5.0,2.0,4.0,2.5,9.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,700088,1540981.4479351044,1336.177110672,1542317.6250457764,88.0,0.0,0.0,0.0,88.0,1.0,88.0,88.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,700088,1107635.7731819153,1397.4459171295,1109033.2190990448,5.0,0.0,0.0,0.0,5.0,1.0,5.0,5.0,8.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,926010,1054375.13589859,1847.2187519073,1056222.3546504974,6.0,0.0,0.0,0.0,6.0,1.0,6.0,6.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,926010,198909.304857254,1384.4001293182,200293.7049865723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,922092,1519178.4529685974,4899.4109630585,1524077.863931656,60.0,0.0,0.0,0.0,60.0,3.0,34.0,20.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,903334,1320299.3190288544,1492.0451641083,1321791.3641929626,33.0,0.0,0.0,0.0,33.0,5.0,8.0,6.6,9.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,983910,1523047.8920936584,949.4693279266,1523997.361421585,61.0,0.0,0.0,0.0,61.0,4.0,34.0,15.25,2.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,983910,1162064.269065857,1701.6000747681,1163765.869140625,37.0,0.0,0.0,0.0,37.0,1.0,37.0,37.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1076257,848436.6798400879,1542.8638458252,849979.5436859131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1157727,1098920.5420017242,1414.528131485,1100335.0701332092,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,1.0,1.0,1.0,1157727,1428760.6010437012,969.9521064758,1429730.553150177,76.0,0.0,0.0,0.0,76.0,4.0,23.0,19.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,1.0,0.0,0.0,1126603,1521525.584936142,1694.1041946411,1523219.689130783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1283346,231054.5151233673,1936.7001056671,232991.2152290344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1363494,693295.8829402924,1593.9989089966,694889.8818492889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1356679,1643261.1730098724,2282.1230888367,1645543.296098709,32.0,0.0,0.0,0.0,32.0,1.0,32.0,32.0,7.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1318503,168087.7461433411,2139.0650272369,170226.811170578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1486244,774089.3921852112,1783.8363647461,775873.2285499573,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1557395,885411.4692211151,2052.1721839905,887463.6414051056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1557395,913691.2062168121,1355.3919792175,915046.5981960297,38.0,0.0,0.0,0.0,38.0,5.0,9.0,7.6,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1636563,1283704.5311927795,1409.5709323883,1285114.1021251678,82.0,0.0,0.0,0.0,82.0,1.0,82.0,82.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1518752,808598.0231761932,1625.4770755768,810223.50025177,8.0,0.0,0.0,0.0,8.0,1.0,8.0,8.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1584486,158432.8598976135,1501.0659694672,159933.9258670807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,1.0,1.0,1.0,1569922,662950.4659175873,2581.0668468475,665531.5327644348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,1870476,1300628.8850307465,1660.9768867493,1302289.8619174957,42.0,0.0,0.0,0.0,42.0,5.0,11.0,8.4,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,2955959,160703.7491798401,1948.4989643097,162652.2481441498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,2991214,1157190.8497810364,1684.2141151428,1158875.0638961792,45.0,0.0,0.0,0.0,45.0,5.0,15.0,9.0,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,3151633,1730394.7010040283,2261.519908905,1732656.2209129333,77.0,0.0,0.0,0.0,77.0,5.0,17.0,15.4,5.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,3151633,1522243.7329292297,1831.5982818604,1524075.33121109,57.0,0.0,0.0,0.0,57.0,5.0,16.0,11.4,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,3133311,141123.3260631561,1395.8401679993,142519.1662311554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,3063225,1078466.5489196777,1107.7189445496,1079574.2678642273,49.0,0.0,0.0,0.0,49.0,4.0,15.0,12.25,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,2922296,231520.2572345734,1407.1202278137,232927.3774623871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,4467164,1549287.9841327667,1339.6391868591,1550627.6233196259,42.0,0.0,0.0,0.0,42.0,2.0,22.0,21.0,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,4412367,707798.9728450775,1270.4539299011,709069.4267749786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,4412367,1462270.1148986816,1197.6299285889,1463467.7448272705,46.0,0.0,0.0,0.0,46.0,1.0,46.0,46.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm_tips,real,0.0,0.0,0.0,4670062,746539.5090579987,1804.4438362122,748343.9528942108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,2378,187952.4161815643,1728.4741401672,189680.8903217316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,2378,232740.2861118317,1251.2578964233,233991.544008255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,4847,120624.4101524353,2149.8119831085,122774.2221355438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,4847,120717.6110744476,1432.5299263,122150.1410007477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,5362,133240.9868240356,3711.6780281067,136952.6648521423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,10996,178761.302947998,1583.6930274963,180344.9959754944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,10996,210912.0750427246,2574.5060443878,213486.5810871124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,0.0,0.0,0.0,44014,147391.5278911591,1600.4378795624,148991.9657707214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,44014,182770.5771923065,1446.7787742615,184217.355966568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,0.0,0.0,0.0,44014,323928.5998344421,2971.7929363251,326900.3927707672,57.0,0.0,0.0,0.0,57.0,1.0,57.0,57.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,47706,112607.7351570129,3956.5212726593,116564.2564296722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,2664,124130.5811405182,2036.856174469,126167.4373149872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,2664,137146.1708545685,1399.0588188171,138545.2296733856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,0.0,0.0,0.0,2664,194352.8447151184,2103.9550304413,196456.7997455597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,0.0,0.0,0.0,2609,210163.4080410004,1311.4700317383,211474.8780727386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,5711,149675.8840084076,1660.9659194946,151336.8499279022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,0.0,0.0,0.0,11967,163604.8738956451,1413.0790233612,165017.9529190063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,11967,201502.2292137146,1447.2301006317,202949.4593143463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,11967,199519.1221237183,1722.8779792786,201242.0001029968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,23554,178951.1892795563,1757.4570178986,180708.6462974548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,0.0,0.0,0.0,22741,195344.4859981537,1640.1042938232,196984.5902919769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,22741,154187.4148845673,1293.0891513824,155480.5040359497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,22741,139597.6610183716,2833.3649635315,142431.0259819031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,1.0,0.0,0.0,22741,120672.7290153503,1758.9619159698,122431.6909313202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
prime-intellect/intellect-3,rlm,synth_with_labels,0.0,0.0,0.0,385091,324618.9370155334,3542.3178672791,328161.2548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
